country,year,age_group,pop_male,pop_female,pop_total
Bangladesh,2025,25-34,13028.044,15720.844,28748.889
Bangladesh,2025,35-44,11629.998,12757.107,24387.101
Bangladesh,2025,45-54,8529.796,8545.075,17074.87
Bangladesh,2025,55-64,6044.162,5893.28,11937.445
Bangladesh,2025,65-74,3867.887,3717.479,7585.366
Bangladesh,2025,75-84,1568.124,1801.874,3369.999
Bangladesh,2025,85+,303.571,456.612,760.184
Bangladesh,2026,18-24,11375.645,11925.631,23301.274
Bangladesh,2026,25-34,13200.276,16029.228,29229.501
Bangladesh,2026,35-44,11664.647,12979.127,24643.775
Bangladesh,2026,45-54,8825.04,8823.502,17648.541
Bangladesh,2026,55-64,6163.951,6106.596,12270.544
Bangladesh,2026,65-74,4001.817,3818.612,7820.429
Bangladesh,2026,75-84,1635.955,1893.635,3529.593
Bangladesh,2026,85+,324.817,488.232,813.048
Belarus,2020,18-24,326.843,308.084,634.926
Belarus,2020,25-34,697.301,666.296,1363.595
Belarus,2020,35-44,699.042,705.2,1404.243
Belarus,2020,45-54,592.182,663.371,1255.548
Belarus,2020,55-64,603.179,762.878,1366.055
Belarus,2020,65-74,335.604,554.493,890.096
Belarus,2020,75-84,120.537,317.098,437.635
Belarus,2020,85+,29.79,113.747,143.528
Belarus,2021,18-24,317.345,299.058,616.403
Belarus,2021,25-34,661.506,631.052,1292.559
Belarus,2021,35-44,708.731,711.026,1419.759
Belarus,2021,45-54,588.792,658.482,1247.274
Belarus,2021,55-64,593.089,751.394,1344.483
Belarus,2021,65-74,349.449,581.107,930.555
Belarus,2021,75-84,114.093,300.638,414.734
Belarus,2021,85+,29.106,112.282,141.385
Belarus,2022,18-24,313.305,295.028,608.334
Belarus,2022,25-34,624.632,595.676,1220.31
Belarus,2022,35-44,719.279,717.456,1436.738
Belarus,2022,45-54,588.162,655.693,1243.859
Belarus,2022,55-64,581.383,736.976,1318.358
Belarus,2022,65-74,361.979,601.166,963.143
Belarus,2022,75-84,113.697,293.753,407.452
Belarus,2022,85+,29.707,113.909,143.614
Belarus,2023,18-24,312.522,295.096,607.617
Belarus,2023,25-34,590.876,563.13,1154.006
Belarus,2023,35-44,729.666,723.347,1453.013
Belarus,2023,45-54,590.096,655.278,1245.374
Belarus,2023,55-64,568.541,719.566,1288.108
Belarus,2023,65-74,375.962,620.022,995.986
Belarus,2023,75-84,117.179,293.711,410.889
Belarus,2023,85+,30.941,117.503,148.442
Belarus,2024,18-24,312.62,296.007,608.629
